,万得全A
,881001.WI
日期,收盘价
Date,close
2010-01-28,2685.3835
2010-01-29,2687.7942
2010-02-01,2649.4207
2010-02-02,2640.9209
2010-02-03,2699.0854
2010-02-04,2699.5786
2010-02-05,2648.3767
2010-02-08,2645.0698
2010-02-09,2653.5195
2010-02-10,2686.8813
2010-02-11,2688.6826
2010-02-12,2719.0105
2010-02-22,2707.8972
2010-02-23,2695.8149
2010-02-24,2737.2981
2010-02-25,2776.0027
2010-02-26,2771.1150
2010-03-01,2804.8689
2010-03-02,2796.9819
2010-03-03,2819.6604
2010-03-04,2746.6982
2010-03-05,2753.2737
2010-03-08,2775.3411
2010-03-09,2790.0388
2010-03-10,2767.6985
2010-03-11,2765.7578
2010-03-12,2729.1772
2010-03-15,2696.2683
2010-03-16,2715.1270
2010-03-17,2773.3787
2010-03-18,2770.2295
2010-03-19,2790.5957
2010-03-22,2799.6973
2010-03-23,2781.6460
2010-03-24,2789.1377
2010-03-25,2754.7568
2010-03-26,2792.1946
2010-03-29,2847.2852
2010-03-30,2854.9307
2010-03-31,2841.9175
2010-04-01,2879.1970
2010-04-02,2888.1436
2010-04-06,2887.6794
2010-04-07,2882.0188
2010-04-08,2859.2031
2010-04-09,2888.3198
2010-04-12,2877.9897
2010-04-13,2891.6836
2010-04-14,2903.6780
2010-04-15,2890.3345
2010-04-16,2865.4258
2010-04-19,2729.0161
2010-04-20,2732.1860
2010-04-21,2790.0979
2010-04-22,2769.5701
2010-04-23,2753.2810
2010-04-26,2741.5742
2010-04-27,2685.8318
2010-04-28,2675.7263
2010-04-29,2636.4863
2010-04-30,2623.2981
2010-05-04,2595.6350
2010-05-05,2626.0454
2010-05-06,2525.6462
2010-05-07,2480.2161
2010-05-10,2479.5588
2010-05-11,2426.5657
2010-05-12,2425.7080
2010-05-13,2482.4351
2010-05-14,2474.2952
2010-05-17,2342.5325
2010-05-18,2376.4202
2010-05-19,2373.8977
2010-05-20,2342.7744
2010-05-21,2379.2729
2010-05-24,2467.0898
2010-05-25,2425.8643
2010-05-26,2429.6675
2010-05-27,2465.9141
2010-05-28,2466.4604
2010-05-31,2405.4834
2010-06-01,2377.6880
2010-06-02,2386.0808
2010-06-03,2371.7124
2010-06-04,2379.9822
2010-06-07,2346.9521
2010-06-08,2351.7310
2010-06-09,2418.7344
2010-06-10,2400.9795
2010-06-11,2403.2544
2010-06-17,2389.9202
2010-06-18,2334.8423
2010-06-21,2405.1104
2010-06-22,2412.3650
2010-06-23,2396.4272
2010-06-24,2398.7239
2010-06-25,2379.6174
2010-06-28,2358.3433
2010-06-29,2251.0808
2010-06-30,2221.4492
2010-07-01,2196.7825
2010-07-02,2199.1772
2010-07-05,2184.6946
2010-07-06,2233.5750
2010-07-07,2250.4587
2010-07-08,2246.5378
2010-07-09,2302.0532
2010-07-12,2324.6489
2010-07-13,2289.8896
2010-07-14,2306.3728
2010-07-15,2261.5134
2010-07-16,2265.5232
2010-07-19,2316.9780
2010-07-20,2370.1404
2010-07-21,2376.3601
2010-07-22,2405.2024
2010-07-23,2414.2734
2010-07-26,2433.4854
2010-07-27,2423.9746
2010-07-28,2478.6392
2010-07-29,2491.3989
2010-07-30,2485.0549
2010-08-02,2525.6675
2010-08-03,2482.7773
2010-08-04,2495.1399
2010-08-05,2483.5369
2010-08-06,2522.8025
2010-08-09,2539.3950
2010-08-10,2463.0813
2010-08-11,2480.1650
2010-08-12,2450.4412
2010-08-13,2485.1851
2010-08-16,2539.3618
2010-08-17,2553.5396
2010-08-18,2550.1333
2010-08-19,2564.5752
2010-08-20,2518.7383
2010-08-23,2521.7617
2010-08-24,2537.6367
2010-08-25,2484.8027
2010-08-26,2493.9685
2010-08-27,2502.9478
2010-08-30,2552.0740
2010-08-31,2548.1951
2010-09-01,2528.9971
2010-09-02,2567.2480
2010-09-03,2573.0613
2010-09-06,2601.4846
2010-09-07,2609.8606
2010-09-08,2612.4822
2010-09-09,2572.9863
2010-09-10,2584.1265
2010-09-13,2615.4402
2010-09-14,2618.3835
2010-09-15,2576.2893
2010-09-16,2523.9675
2010-09-17,2524.8979
2010-09-20,2512.1665
2010-09-21,2514.8953
2010-09-27,2559.8213
2010-09-28,2543.2634
2010-09-29,2532.3484
2010-09-30,2575.3315
2010-10-08,2650.9824
2010-10-11,2705.4341
2010-10-12,2732.1619
2010-10-13,2755.6638
2010-10-14,2741.8970
2010-10-15,2811.8662
2010-10-18,2793.7158
2010-10-19,2853.3816
2010-10-20,2865.0239
2010-10-21,2857.5168
2010-10-22,2862.9167
2010-10-25,2937.7632
2010-10-26,2930.7598
2010-10-27,2891.2080
2010-10-28,2888.4390
2010-10-29,2884.6086
2010-11-01,2961.3882
2010-11-02,2947.3740
2010-11-03,2920.3315
2010-11-04,2972.9573
2010-11-05,3013.1863
2010-11-08,3047.5754
2010-11-09,3031.6108
2010-11-10,3021.8269
2010-11-11,3046.0369
2010-11-12,2885.9338
2010-11-15,2923.0405
2010-11-16,2806.0601
2010-11-17,2741.8477
2010-11-18,2774.5728
2010-11-19,2807.8960
2010-11-22,2812.4807
2010-11-23,2763.8311
2010-11-24,2801.5005
2010-11-25,2833.8896
2010-11-26,2811.2627
2010-11-29,2811.4978
2010-11-30,2762.1379
2010-12-01,2761.8118
2010-12-02,2780.5613
2010-12-03,2777.4658
2010-12-06,2782.8362
2010-12-07,2806.1799
2010-12-08,2783.0981
2010-12-09,2740.5222
2010-12-10,2770.6641
2010-12-13,2853.1992
2010-12-14,2863.6184
2010-12-15,2848.1165
2010-12-16,2838.8376
2010-12-17,2834.1445
2010-12-20,2793.8491
2010-12-21,2841.6877
2010-12-22,2816.7048
2010-12-23,2787.8984
2010-12-24,2762.3850
2010-12-27,2706.0044
2010-12-28,2658.0857
2010-12-29,2680.3623
2010-12-30,2689.5022
2010-12-31,2737.5686
2011-01-04,2780.8210
2011-01-05,2768.9219
2011-01-06,2754.5686
2011-01-07,2761.8760
2011-01-10,2709.3159
2011-01-11,2717.3694
2011-01-12,2733.0605
2011-01-13,2739.2900
2011-01-14,2701.4995
2011-01-17,2613.2771
2011-01-18,2617.2839
2011-01-19,2667.1047
2011-01-20,2585.6169
2011-01-21,2616.8625
2011-01-24,2589.7888
2011-01-25,2569.8977
2011-01-26,2601.6255
2011-01-27,2640.3801
2011-01-28,2649.1143
2011-01-31,2681.9158
2011-02-01,2690.3313
2011-02-09,2665.3159
2011-02-10,2717.4441
2011-02-11,2731.3635
2011-02-14,2800.1147
2011-02-15,2799.5637
2011-02-16,2828.8628
2011-02-17,2831.7710
2011-02-18,2805.8582
2011-02-21,2843.2271
2011-02-22,2770.6711
2011-02-23,2779.2734
2011-02-24,2794.6472
2011-02-25,2795.6060
2011-02-28,2824.3621
2011-03-01,2837.3442
2011-03-02,2832.2727
2011-03-03,2814.2871
2011-03-04,2852.2205
2011-03-07,2903.8962
2011-03-08,2908.6108
2011-03-09,2911.2871
2011-03-10,2871.9812
2011-03-11,2851.2944
2011-03-14,2860.9697
2011-03-15,2820.3303
2011-03-16,2855.3779
2011-03-17,2819.5120
2011-03-18,2829.9917
2011-03-21,2828.0664
2011-03-22,2835.7634
2011-03-23,2865.4058
2011-03-24,2865.0012
2011-03-25,2893.7590
2011-03-28,2893.6606
2011-03-29,2862.6104
2011-03-30,2857.5400
2011-03-31,2829.7332
2011-04-01,2865.1155
2011-04-06,2887.8850
2011-04-07,2896.3669
2011-04-08,2921.0498
2011-04-11,2909.5354
2011-04-12,2907.8835
2011-04-13,2935.5164
2011-04-14,2925.6855
2011-04-15,2931.2798
2011-04-18,2937.8306
2011-04-19,2887.4048
2011-04-20,2895.0017
2011-04-21,2914.9758
2011-04-22,2899.5435
2011-04-25,2852.4880
2011-04-26,2824.9434
2011-04-27,2808.5781
2011-04-28,2762.5298
2011-04-29,2791.1301
2011-05-03,2814.9360
2011-05-04,2751.1128
2011-05-05,2755.7842
2011-05-06,2751.1357
2011-05-09,2761.4365
2011-05-10,2778.4812
2011-05-11,2774.4824
2011-05-12,2737.6516
2011-05-13,2761.1650
2011-05-16,2743.1260
2011-05-17,2744.4041
2011-05-18,2762.9775
2011-05-19,2751.4275
2011-05-20,2748.6934
2011-05-23,2664.0215
2011-05-24,2658.6104
2011-05-25,2633.7385
2011-05-26,2624.8015
2011-05-27,2595.0278
2011-05-30,2585.5417
2011-05-31,2624.0471
2011-06-01,2632.5940
2011-06-02,2595.8835
2011-06-03,2622.9783
2011-06-07,2641.4680
2011-06-08,2649.2563
2011-06-09,2604.4683
2011-06-10,2611.3296
2011-06-13,2609.3252
2011-06-14,2641.2092
2011-06-15,2622.6199
2011-06-16,2580.7749
2011-06-17,2560.2351
2011-06-20,2537.3245
2011-06-21,2565.7390
2011-06-22,2566.8528
2011-06-23,2608.8206
2011-06-24,2666.0056
2011-06-27,2679.4917
2011-06-28,2681.9883
2011-06-29,2652.8499
2011-06-30,2687.1235
2011-07-01,2691.0337
2011-07-04,2746.8662
2011-07-05,2754.2375
2011-07-06,2753.6223
2011-07-07,2741.5630
2011-07-08,2743.7161
2011-07-11,2752.8994
2011-07-12,2707.3723
2011-07-13,2748.9783
2011-07-14,2763.6812
2011-07-15,2776.1682
2011-07-18,2772.2820
2011-07-19,2750.6755
2011-07-20,2749.4531
2011-07-21,2721.7590
2011-07-22,2729.4299
2011-07-25,2644.8511
2011-07-26,2659.1072
2011-07-27,2684.0381
2011-07-28,2671.5337
2011-07-29,2659.6453
2011-08-01,2663.5750
2011-08-02,2641.3945
2011-08-03,2642.2229
2011-08-04,2648.7207
2011-08-05,2592.8433
2011-08-08,2489.4368
2011-08-09,2487.9844
2011-08-10,2514.5574
2011-08-11,2549.6665
2011-08-12,2564.3523
2011-08-15,2598.3284
2011-08-16,2579.6392
2011-08-17,2571.9656
2011-08-18,2529.8167
2011-08-19,2505.7407
2011-08-22,2484.9910
2011-08-23,2522.8120
2011-08-24,2513.7053
2011-08-25,2582.5657
2011-08-26,2582.3457
2011-08-29,2550.7104
2011-08-30,2538.5420
2011-08-31,2537.5537
2011-09-01,2525.7266
2011-09-02,2498.5847
2011-09-05,2446.7664
2011-09-06,2433.6365
2011-09-07,2482.1575
2011-09-08,2464.1338
2011-09-09,2459.5559
2011-09-13,2430.4026
2011-09-14,2445.6694
2011-09-15,2446.2578
2011-09-16,2449.5220
2011-09-19,2405.6160
2011-09-20,2415.3489
2011-09-21,2480.3992
2011-09-22,2410.5479
2011-09-23,2396.9077
2011-09-26,2356.8569
2011-09-27,2376.2737
2011-09-28,2351.2627
2011-09-29,2317.3804
2011-09-30,2312.2429
