date	SPX.GI	N225.GI	000001.SH
2009/11/23	7553.2961	729.0134	3338.663
2009/11/24	7548.9359	722.2106	3223.526
2009/11/25	7582.8263	728.5547	3290.165
2009/11/26	7582.0489	733.1313	3170.98
2009/11/27	7451.4931	721.4995	3096.265
2009/11/30	7480.0851	736.4293	3195.301
2009/12/1	7570.1872	756.2229	3235.363
2009/12/2	7572.5596	756.0026	3269.752
2009/12/3	7509.1538	776.4024	3264.628
2009/12/4	7550.7467	777.1316	3317.044
2009/12/7	7532.7704	770.4194	3331.897
2009/12/8	7455.4387	776.0197	3296.664
2009/12/9	7483.037	770.6136	3239.568
2009/12/10	7526.4049	763.7866	3254.264
2009/12/11	7554.2356	780.742	3247.318
2009/12/14	7607.0317	776.0253	3302.904
2009/12/15	7564.7245	776.2364	3274.46
2009/12/16	7573.481	775.1014	3255.213
2009/12/17	7484.1438	771.5747	3179.078
2009/12/18	7528.1061	776.4348	3113.886
2009/12/21	7607.0676	768.1391	3122.973
2009/12/22	7634.3996	778.2796	3050.52
2009/12/23	7652.1729	772.1981	3073.777
2009/12/24	7692.1687	785.1059	3153.41
2009/12/25	7691.9434	783.0523	3141.353
2009/12/28	7700.7074	792.1544	3188.785
2009/12/29	7689.9188	791.8334	3211.761
2009/12/30	7691.5337	782.7251	3262.6
2009/12/31	7614.1258	778.1374	3277.139
2010/1/4	7736.169	782.7435	3243.76
2010/1/5	7759.9313	789.2377	3282.179
2010/1/6	7764.0508	799.6003	3254.215
2010/1/7	7795.0026	789.5456	3192.776
2010/1/8	7817.8089	788.6013	3195.997
2010/1/11	7831.006	798.8921	3212.75
2010/1/12	7757.4284	805.1216	3273.966
2010/1/13	7821.9011	802.7977	3172.658
2010/1/14	7840.7661	814.6292	3215.55
2010/1/15	7755.7904	821.3842	3224.152
2010/1/18	7755.904	815.8678	3237.098
2010/1/19	7852.6202	810.7261	3246.874
2010/1/20	7769.7405	804.3047	3151.85
2010/1/21	7622.4323	812.7614	3158.863
2010/1/22	7453.5547	801.2281	3128.588
2010/1/25	7487.7171	797.398	3094.411
2010/1/26	7456.1354	779.3625	3019.394
2010/1/27	7492.6325	781.6288	2986.607
2010/1/28	7404.1948	788.6325	2994.143
2010/1/29	7331.3105	775.8159	2989.292
2010/2/1	7436.009	771.673	2941.36
2010/2/2	7532.476	778.9311	2934.713
2010/2/3	7491.0208	784.5905	3003.835
2010/2/4	7257.852	777.0506	2995.308
2010/2/5	7279.0924	766.5313	2939.402
2010/2/8	7214.681	760.2991	2935.174
2010/2/9	7308.5471	759.0027	2948.842
2010/2/10	7292.0167	756.5259	2982.5
2010/2/11	7362.7147	755.5295	2985.499
2010/2/12	7342.3992	767.501	3018.133
2010/2/22	7564.4951	773.7326	3003.398
2010/2/23	7472.8342	774.6373	2982.575
2010/2/24	7545.584	771.6333	3022.177
2010/2/25	7529.7714	764.4658	3060.618
2010/2/26	7540.2428	773.3857	3051.943
2010/3/1	7616.6175	780.3292	3087.842
2010/3/2	7634.4787	781.8277	3073.108
