date,pre_close,open,high,low,close,volume,amt,adjfactor
2018/4/24,4200.075,4200.9816,4289.3938,4200.9816,4289.3938,35281445917,4.52E+11,1
2018/4/25,4289.3938,4268.5915,4293.4415,4264.5081,4287.7639,31038394934,4.19E+11,1
2018/4/26,4287.7639,4282.0198,4285.1754,4204.6899,4208.0601,32001006589,4.25E+11,1
2018/4/27,4208.0601,4222.4445,4232.0959,4179.0711,4213.4125,29560406209,4.12E+11,1
2018/5/2,4213.4125,4220.5266,4240.1407,4186.2424,4210.1133,29431811503,3.85E+11,1
2018/5/3,4210.1133,4201.1082,4246.3833,4167.9275,4246.048,31729387438,4.07E+11,1
2018/5/4,4246.048,4236.5599,4256.2066,4230.4012,4234.8769,26908781307,3.60E+11,1
2018/5/7,4234.8769,4241.6492,4305.0978,4241.3456,4305.037,31271470885,4.22E+11,1
2018/5/8,4305.037,4306.0755,4346.4578,4305.2141,4341.2048,32921905922,4.43E+11,1
2018/5/9,4341.2048,4336.9985,4343.9955,4317.2523,4336.0363,29182836339,3.82E+11,1
2018/5/10,4336.0363,4344.8579,4357.2006,4326.9794,4356.6987,31355148902,4.12E+11,1
2018/5/11,4356.6987,4362.8925,4364.3784,4324.6603,4324.9802,31052781790,4.14E+11,1
2018/5/14,4324.9802,4329.2106,4351.948,4320.4342,4333.4393,29852665295,4.07E+11,1
2018/5/15,4333.4393,4340.2918,4364.7769,4318.6137,4364.4527,28208401391,3.78E+11,1
2018/5/16,4364.4527,4349.8545,4370.5758,4335.3361,4339.2378,29567762363,4.02E+11,1
2018/5/17,4339.2378,4339.0329,4342.4649,4308.238,4315.8224,26430758441,3.57E+11,1
2018/5/18,4315.8224,4312.0902,4346.6573,4297.0755,4346.6182,29072678802,3.76E+11,1
2018/5/21,4346.6182,4370.1997,4393.0194,4369.2737,4385.563,35502728393,4.61E+11,1
2018/5/22,4385.563,4382.9682,4389.079,4360.2838,4388.905,32359210514,4.38E+11,1
2018/5/23,4388.905,4379.3483,4379.3541,4336.5724,4336.5724,34386343667,4.60E+11,1
2018/5/24,4336.5724,4335.1979,4343.3843,4312.247,4316.1762,28211906863,3.82E+11,1
2018/5/25,4316.1762,4314.0593,4322.7011,4279.9557,4289.1219,30074421076,3.98E+11,1
2018/5/28,4289.1219,4286.1243,4307.229,4255.2197,4282.5155,29789373810,3.98E+11,1
2018/5/29,4282.5155,4274.1943,4297.2202,4246.5684,4247.8807,30372850565,4.07E+11,1
2018/5/30,4247.8807,4191.5101,4199.1507,4133.5573,4135.8552,35189653763,4.38E+11,1
2018/5/31,4135.8552,4164.7248,4212.5351,4147.0978,4210.9383,31306372973,4.07E+11,1
2018/6/1,4210.9383,4195.3287,4214.4805,4149.157,4170.235,29213041441,3.75E+11,1
2018/6/4,4170.235,4180.8623,4196.8801,4164.5217,4185.3093,25994119645,3.45E+11,1
2018/6/5,4185.3093,4187.0439,4241.0739,4186.4367,4240.9803,27118861738,3.71E+11,1
2018/6/6,4240.9803,4235.8815,4248.1264,4228.701,4240.5291,26536180944,3.60E+11,1
2018/6/7,4240.5291,4252.9651,4257.7785,4222.6321,4225.5526,27503707522,3.60E+11,1
2018/6/8,4225.5526,4217.1794,4217.3289,4151.2206,4176.1768,28607069170,3.54E+11,1
2018/6/11,4176.1768,4166.1971,4179.1056,4143.211,4160.5071,23946638945,3.21E+11,1
2018/6/12,4160.5071,4163.0293,4205.0829,4133.5255,4202.9103,25543890103,3.51E+11,1
2018/6/13,4202.9103,4191.9515,4193.8756,4147.3724,4150.5212,26211378402,3.43E+11,1
2018/6/14,4150.5212,4135.9331,4173.8388,4121.9974,4134.0117,24580902851,3.17E+11,1
2018/6/15,4134.0117,4130.8078,4144.9397,4067.9315,4085.3034,30385694966,3.56E+11,1
