,收盘价
,close
日期,中证800
Date,000906.SH
2011-07-20,3397.0410
2011-07-21,3358.8410
2011-07-22,3369.0580
2011-07-25,3253.7710
2011-07-26,3265.0730
2011-07-27,3297.3890
2011-07-28,3276.5310
2011-07-29,3259.5440
2011-08-01,3267.1020
2011-08-02,3243.6160
2011-08-03,3245.0760
2011-08-04,3253.9810
2011-08-05,3186.4100
2011-08-08,3060.3820
2011-08-09,3061.2980
2011-08-10,3093.6910
2011-08-11,3142.3200
2011-08-12,3158.7260
2011-08-15,3205.2860
2011-08-16,3181.7560
2011-08-17,3168.7290
2011-08-18,3112.5640
2011-08-19,3083.4630
2011-08-22,3053.5790
2011-08-23,3101.6580
2011-08-24,3091.5020
2011-08-25,3184.3520
2011-08-26,3184.1510
2011-08-29,3137.6120
2011-08-30,3121.5190
2011-08-31,3121.6270
2011-09-01,3105.1420
2011-09-02,3071.0620
2011-09-05,3002.7160
2011-09-06,2979.9910
2011-09-07,3043.8930
2011-09-08,3016.7420
2011-09-09,3007.7770
2011-09-13,2969.9780
2011-09-14,2989.2420
2011-09-15,2986.6000
2011-09-16,2990.4520
2011-09-19,2930.8680
2011-09-20,2943.1180
2011-09-21,3031.5460
2011-09-22,2939.7570
2011-09-23,2920.3330
2011-09-26,2860.7520
2011-09-27,2885.6230
2011-09-28,2850.8550
2011-09-29,2808.7870
2011-09-30,2800.6230
2011-10-10,2776.5320
2011-10-11,2769.6980
2011-10-12,2869.2470
2011-10-13,2893.1810
2011-10-14,2882.9630
2011-10-17,2895.8060
2011-10-18,2813.1450
2011-10-19,2801.5230
2011-10-20,2729.8860
2011-10-21,2706.8590
2011-10-24,2774.4630
2011-10-25,2833.5810
2011-10-26,2862.4500
2011-10-27,2868.0070
2011-10-28,2926.3110
2011-10-31,2919.0900
2011-11-01,2920.9740
2011-11-02,2970.7470
2011-11-03,2976.9210
2011-11-04,2998.8490
2011-11-07,2973.6250
2011-11-08,2956.0720
2011-11-09,2988.1440
2011-11-10,2934.6700
2011-11-11,2930.5560
2011-11-14,2993.2280
2011-11-15,2994.9540
2011-11-16,2915.3740
2011-11-17,2907.2050
2011-11-18,2840.7520
2011-11-21,2843.9560
2011-11-22,2842.1610
2011-11-23,2818.7880
2011-11-24,2821.3580
2011-11-25,2801.6250
2011-11-28,2805.0590
2011-11-29,2845.6620
2011-11-30,2745.5090
2011-12-01,2809.9490
2011-12-02,2773.8320
2011-12-05,2721.5980
2011-12-06,2717.4510
2011-12-07,2728.9580
2011-12-08,2725.9800
2011-12-09,2701.8530
2011-12-12,2672.1700
2011-12-13,2603.7730
2011-12-14,2571.5830
2011-12-15,2508.3620
2011-12-16,2566.3510
2011-12-19,2563.1580
2011-12-20,2555.3050
2011-12-21,2509.3960
2011-12-22,2503.0530
2011-12-23,2522.7710
2011-12-26,2500.2520
2011-12-27,2459.8780
2011-12-28,2459.0890
2011-12-29,2461.8170
2011-12-30,2500.6520
2012-01-04,2448.8630
2012-01-05,2408.8490
2012-01-06,2422.7690
2012-01-09,2509.0150
2012-01-10,2597.2430
2012-01-11,2588.0270
2012-01-12,2587.5400
2012-01-13,2533.6680
2012-01-16,2475.1780
2012-01-17,2600.3750
2012-01-18,2556.9030
2012-01-19,2600.2630
2012-01-20,2637.4400
2012-01-30,2598.1470
2012-01-31,2601.3900
2012-02-01,2567.6830
2012-02-02,2625.3880
2012-02-03,2651.6350
2012-02-06,2655.6870
2012-02-07,2607.9370
2012-02-08,2681.1450
2012-02-09,2686.4870
2012-02-10,2693.4590
2012-02-13,2698.0400
2012-02-14,2690.9650
2012-02-15,2723.1220
2012-02-16,2712.0350
2012-02-17,2710.6310
2012-02-20,2715.2570
2012-02-21,2740.9690
2012-02-22,2782.3950
2012-02-23,2791.6910
2012-02-24,2835.7960
2012-02-27,2844.0930
2012-02-28,2845.3470
2012-02-29,2813.2940
2012-03-01,2816.2870
