,万得全A,,,,,,,,,,
,881001.WI,,,,,,,,,,
日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌,涨跌幅,复权因子,换手率
Date,pre_close,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn
2007-10-19,3957.9939,3957.9939,4019.4568,3929.9636,3958.9578,8362248000.0000,160488576000.0000,0.9639,0.0244,1.000000,1.9335
2007-10-22,3958.9578,3958.9578,3958.9578,3854.9412,3857.7544,8104084000.0000,145035216000.0000,-101.2034,-2.5563,1.000000,1.8840
2007-10-23,3857.7544,3857.7544,3889.9331,3777.9604,3889.3213,8691032000.0000,154564208000.0000,31.5669,0.8183,1.000000,2.0214
2007-10-24,3889.3213,3889.3213,3936.2354,3885.7510,3890.6287,8877893600.0000,164614208000.0000,1.3074,0.0336,1.000000,2.0631
2007-10-25,3890.6287,3890.6287,3890.6287,3678.9241,3691.9280,10713828000.0000,181406912000.0000,-198.7007,-5.1072,1.000000,2.4825
2007-10-26,3691.9280,3691.9280,3729.5073,3626.7935,3707.1091,7826166400.0000,134680736000.0000,15.1811,0.4112,1.000000,1.8003
2007-10-29,3707.1091,3707.1091,3777.2258,3707.1091,3776.8704,7209948000.0000,121872656000.0000,69.7613,1.8818,1.000000,1.6238
2007-10-30,3776.8704,3776.8704,3844.8015,3754.1309,3844.3313,7615284000.0000,130271120000.0000,67.4609,1.7862,1.000000,1.7212
2007-10-31,3844.3313,3844.3313,3933.0225,3844.3313,3930.7908,10243484000.0000,177179104000.0000,86.4595,2.2490,1.000000,2.3121
2007-11-01,3930.7908,3930.7908,3936.5698,3859.4143,3859.4529,9328527200.0000,163719680000.0000,-71.3379,-1.8148,1.000000,2.1100
2007-11-02,3859.4529,3859.4529,3859.4529,3749.4771,3766.8074,8610841600.0000,155023920000.0000,-92.6455,-2.4005,1.000000,1.9434
2007-11-05,3766.8074,3766.8074,3794.6606,3705.7610,3724.0388,7002753600.0000,124614656000.0000,-42.7686,-1.1354,1.000000,1.9190
2007-11-06,3724.0388,3724.0388,3754.4321,3691.8374,3706.2698,6382310800.0000,116696808000.0000,-17.7690,-0.4771,1.000000,1.4240
2007-11-07,3706.2698,3706.2698,3747.8335,3644.3271,3721.2622,6290306400.0000,110444848000.0000,14.9924,0.4045,1.000000,1.4064
2007-11-08,3721.2622,3721.2622,3721.2622,3553.8325,3555.1064,7226028800.0000,125624760000.0000,-166.1558,-4.4650,1.000000,1.6160
2007-11-09,3555.1064,3555.1064,3571.6025,3466.1179,3515.4631,6820424000.0000,116122712000.0000,-39.6433,-1.1151,1.000000,1.5270
2007-11-12,3515.4631,3515.4631,3515.4631,3355.9385,3465.0200,7494683200.0000,125093184000.0000,-50.4431,-1.4349,1.000000,1.6737
2007-11-13,3465.0200,3465.0200,3532.7617,3401.3582,3448.8660,7166812800.0000,121696024000.0000,-16.1540,-0.4662,1.000000,1.6126
2007-11-14,3448.8660,3448.8660,3588.1360,3448.0562,3587.6594,7463588800.0000,128044128000.0000,138.7934,4.0243,1.000000,1.6640
2007-11-15,3587.6594,3587.6594,3600.7896,3535.6453,3542.9624,7122151200.0000,121278336000.0000,-44.6970,-1.2459,1.000000,1.5823
2007-11-16,3542.9624,3542.9624,3542.9624,3450.1602,3510.6895,5644207200.0000,92380936000.0000,-32.2729,-0.9109,1.000000,1.2603
2007-11-19,3510.6895,3510.6895,3541.7124,3500.9099,3528.0784,6217413600.0000,95431344000.0000,17.3889,0.4953,1.000000,1.3855
2007-11-20,3528.0784,3528.0784,3597.7336,3488.2598,3579.1338,7261877600.0000,118595696000.0000,51.0554,1.4471,1.000000,1.6208
2007-11-21,3579.1338,3579.1338,3617.8608,3528.2791,3531.5063,6286202400.0000,101902792000.0000,-47.6275,-1.3307,1.000000,1.3914
2007-11-22,3531.5063,3531.5063,3531.5063,3366.5403,3374.0239,6009285200.0000,97940048000.0000,-157.4824,-4.4594,1.000000,1.3338
2007-11-23,3374.0239,3374.0239,3431.5769,3331.8975,3431.5769,4505493600.0000,74593608000.0000,57.5530,1.7058,1.000000,0.9964
2007-11-26,3431.5769,3431.5769,3497.0283,3393.5981,3396.4741,5389838000.0000,88920168000.0000,-35.1028,-1.0229,1.000000,1.1910
