,沪深300,,,,,,,,,,
,000300.SH,,,,,,,,,,
日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌,涨跌幅,复权因子,换手率
Date,pre_close,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn
2010-01-08,3471.4560,3456.9080,3482.0830,3426.6980,3480.1300,6079025300.0000,90190959969.0000,8.6740,0.2499,1.000000,0.5880
2010-01-11,3480.1300,3593.1060,3594.5280,3465.3170,3482.0520,8998017200.0000,134114001104.0000,1.9220,0.0552,1.000000,0.8544
2010-01-12,3482.0520,3477.8420,3535.4070,3437.6610,3534.9160,9374327800.0000,134071416354.0000,52.8640,1.5182,1.000000,0.8900
2010-01-13,3534.9160,3448.2910,3490.1120,3415.6930,3421.1440,11245790100.0000,159860384574.0000,-113.7720,-3.2185,1.000000,1.0676
2010-01-14,3421.1440,3433.4720,3470.3230,3411.8120,3469.0510,8335325200.0000,118107870086.0000,47.9070,1.4003,1.000000,0.7913
2010-01-15,3469.0510,3472.5240,3500.0720,3448.6610,3482.7380,7254310200.0000,104035175785.0000,13.6870,0.3945,1.000000,0.6885
2010-01-18,3482.7380,3471.7770,3501.2600,3458.0420,3500.6840,8285430700.0000,117884258544.0000,17.9460,0.5153,1.000000,0.7863
2010-01-19,3500.6840,3506.8060,3528.3900,3497.0940,3507.4820,7488323200.0000,108023525533.0000,6.7980,0.1942,1.000000,0.7107
2010-01-20,3507.4820,3512.2460,3515.4490,3387.8180,3394.4340,9249514600.0000,128416164613.0000,-113.0480,-3.2231,1.000000,0.8778
2010-01-21,3394.4340,3397.0430,3425.1800,3364.7230,3408.5740,7059506800.0000,100076607006.0000,14.1400,0.4166,1.000000,0.6700
2010-01-22,3408.5740,3364.4520,3390.7960,3293.1940,3366.1970,8893340400.0000,119197815814.0000,-42.3770,-1.2432,1.000000,0.8440
2010-01-25,3366.1970,3340.0130,3372.4260,3326.2660,3328.0140,5684917100.0000,76626626843.0000,-38.1830,-1.1343,1.000000,0.4950
2010-01-26,3328.0140,3328.1130,3341.1980,3222.1400,3242.7970,6175223100.0000,81586059213.0000,-85.2170,-2.5606,1.000000,0.5848
2010-01-27,3242.7970,3243.0380,3255.1160,3183.3650,3198.5660,5269139400.0000,70540273182.0000,-44.2310,-1.3640,1.000000,0.4989
2010-01-28,3198.5660,3195.2890,3220.3060,3168.4630,3206.5700,4699071600.0000,64082115658.0000,8.0040,0.2502,1.000000,0.4449
2010-01-29,3206.5700,3190.3150,3249.4550,3176.9160,3204.1550,5026261300.0000,68018118702.0000,-2.4150,-0.0753,1.000000,0.4758
2010-02-01,3204.1550,3198.2300,3198.3110,3116.4390,3152.7070,5700138000.0000,75982150475.0000,-51.4480,-1.6057,1.000000,0.5396
2010-02-02,3152.7070,3170.7780,3211.9410,3143.0850,3146.1890,5013003300.0000,68318412373.0000,-6.5180,-0.2067,1.000000,0.4746
2010-02-03,3146.1890,3160.7120,3231.1020,3094.5680,3230.7150,6479889400.0000,87536249983.0000,84.5260,2.6866,1.000000,0.6134
2010-02-04,3230.7150,3206.4310,3242.5190,3190.4370,3218.8020,5897272600.0000,75466552963.0000,-11.9130,-0.3687,1.000000,0.5582
2010-02-05,3218.8020,3147.7210,3177.4200,3129.9210,3153.0870,5910584500.0000,73693132366.0000,-65.7150,-2.0416,1.000000,0.5590
2010-02-08,3153.0870,3152.2530,3172.3060,3133.8080,3150.9880,3735595100.0000,47902429250.0000,-2.0990,-0.0666,1.000000,0.3533
2010-02-09,3150.9880,3147.7610,3178.9470,3144.4780,3169.1900,3595315800.0000,45222660374.0000,18.2020,0.5777,1.000000,0.3400
2010-02-10,3169.1900,3195.1420,3214.4560,3182.8340,3214.1300,3421989400.0000,48152144637.0000,44.9400,1.4180,1.000000,0.3236
