,上证综指
,000001.SH
日期,收盘价
Date,close
2009-07-21,3213.2060
2009-07-22,3296.6150
2009-07-23,3328.4900
2009-07-24,3372.6030
2009-07-27,3435.2120
2009-07-28,3438.3710
2009-07-29,3266.4320
2009-07-30,3321.5600
2009-07-31,3412.0620
2009-08-03,3462.5900
2009-08-04,3471.4420
2009-08-05,3428.5010
2009-08-06,3356.3300
2009-08-07,3260.6900
2009-08-10,3249.7600
2009-08-11,3264.7260
2009-08-12,3112.7190
2009-08-13,3140.5600
2009-08-14,3046.9720
2009-08-17,2870.6300
2009-08-18,2910.8840
2009-08-19,2785.5840
2009-08-20,2911.5820
2009-08-21,2960.7710
2009-08-24,2993.4290
2009-08-25,2915.8030
2009-08-26,2967.5950
2009-08-27,2946.3950
2009-08-28,2860.6880
2009-08-31,2667.7450
2009-09-01,2683.7240
2009-09-02,2714.9740
2009-09-03,2845.0240
2009-09-04,2861.6090
2009-09-07,2881.1160
2009-09-08,2930.4750
2009-09-09,2946.2590
2009-09-10,2924.8830
2009-09-11,2989.7920
2009-09-14,3026.7410
2009-09-15,3033.7280
2009-09-16,2999.7100
2009-09-17,3060.2600
2009-09-18,2962.6670
2009-09-21,2967.0110
2009-09-22,2897.5530
2009-09-23,2842.7210
2009-09-24,2853.5540
2009-09-25,2838.8420
2009-09-28,2763.5250
2009-09-29,2754.5400
2009-09-30,2779.4260
2009-10-09,2911.7150
2009-10-12,2894.4830
2009-10-13,2936.1910
2009-10-14,2970.5320
2009-10-15,2979.7880
2009-10-16,2976.6330
2009-10-19,3038.2730
2009-10-20,3084.4540
2009-10-21,3070.5890
2009-10-22,3051.4120
2009-10-23,3107.8470
2009-10-26,3109.5660
2009-10-27,3021.4590
2009-10-28,3031.3290
2009-10-29,2960.4660
2009-10-30,2995.8480
2009-11-02,3076.6490
2009-11-03,3114.2270
2009-11-04,3128.5370
2009-11-05,3155.0530
2009-11-06,3164.0370
2009-11-09,3175.5850
2009-11-10,3178.6100
2009-11-11,3175.1920
2009-11-12,3172.9450
2009-11-13,3187.6470
2009-11-16,3275.0480
2009-11-17,3282.8890
2009-11-18,3303.2340
2009-11-19,3320.6120
2009-11-20,3308.3460
2009-11-23,3338.6630
2009-11-24,3223.5260
2009-11-25,3290.1650
2009-11-26,3170.9800
2009-11-27,3096.2650
2009-11-30,3195.3010
2009-12-01,3235.3630
2009-12-02,3269.7520
2009-12-03,3264.6280
2009-12-04,3317.0440
2009-12-07,3331.8970
2009-12-08,3296.6640
2009-12-09,3239.5680
2009-12-10,3254.2640
2009-12-11,3247.3180
2009-12-14,3302.9040
2009-12-15,3274.4600
2009-12-16,3255.2130
2009-12-17,3179.0780
2009-12-18,3113.8860
2009-12-21,3122.9730
2009-12-22,3050.5200
2009-12-23,3073.7770
2009-12-24,3153.4100
2009-12-25,3141.3530
2009-12-28,3188.7850
2009-12-29,3211.7610
2009-12-30,3262.6000
2009-12-31,3277.1390
2010-01-04,3243.7600
2010-01-05,3282.1790
2010-01-06,3254.2150
2010-01-07,3192.7760
2010-01-08,3195.9970
2010-01-11,3212.7500
2010-01-12,3273.9660
2010-01-13,3172.6580
2010-01-14,3215.5500
2010-01-15,3224.1520
2010-01-18,3237.0980
2010-01-19,3246.8740
2010-01-20,3151.8500
2010-01-21,3158.8630
2010-01-22,3128.5880
2010-01-25,3094.4110
2010-01-26,3019.3940
2010-01-27,2986.6070
2010-01-28,2994.1430
2010-01-29,2989.2920
2010-02-01,2941.3600
2010-02-02,2934.7130
2010-02-03,3003.8350
2010-02-04,2995.3080
2010-02-05,2939.4020
2010-02-08,2935.1740
2010-02-09,2948.8420
2010-02-10,2982.5000
2010-02-11,2985.4990
2010-02-12,3018.1330
2010-02-22,3003.3980
2010-02-23,2982.5750
2010-02-24,3022.1770
2010-02-25,3060.6180
2010-02-26,3051.9430
2010-03-01,3087.8420
2010-03-02,3073.1080
2010-03-03,3097.0050
2010-03-04,3023.3730
2010-03-05,3031.0650
2010-03-08,3053.2320
2010-03-09,3069.1410
2010-03-10,3048.9270
2010-03-11,3051.2820
2010-03-12,3013.4120
2010-03-15,2976.9390
2010-03-16,2992.8410
2010-03-17,3050.4790
2010-03-18,3046.0890
2010-03-19,3067.7500
2010-03-22,3074.5760
2010-03-23,3053.1250
2010-03-24,3056.8080
2010-03-25,3019.1760
2010-03-26,3059.7150
2010-03-29,3123.7980
2010-03-30,3128.4680
2010-03-31,3109.1050
2010-04-01,3147.4160
2010-04-02,3157.9570
2010-04-06,3158.6810
2010-04-07,3148.2220
2010-04-08,3118.7090
2010-04-09,3145.3470
2010-04-12,3129.2630
2010-04-13,3161.2510
2010-04-14,3166.1830
2010-04-15,3164.9660
2010-04-16,3130.3020
2010-04-19,2980.2970
2010-04-20,2979.5330
2010-04-21,3033.2780
2010-04-22,2999.4840
2010-04-23,2983.5370
2010-04-26,2969.5030
2010-04-27,2907.9280
