,收盘价
,close
日期,中证500
Date,000905.SH
2010-09-13,4789.6930
2010-09-14,4805.4160
2010-09-15,4730.1430
2010-09-16,4610.9160
2010-09-17,4603.4890
2010-09-20,4553.1200
2010-09-21,4546.7240
2010-09-27,4673.6020
2010-09-28,4654.3450
2010-09-29,4590.3170
2010-09-30,4660.6050
2010-10-08,4767.9670
2010-10-11,4789.1550
2010-10-12,4806.0290
2010-10-13,4836.7370
2010-10-14,4679.5480
2010-10-15,4691.4500
2010-10-18,4636.6390
2010-10-19,4778.6070
2010-10-20,4794.1940
2010-10-21,4833.8000
2010-10-22,4877.9270
2010-10-25,4998.5000
2010-10-26,5046.1480
2010-10-27,4994.7740
2010-10-28,4999.5900
2010-10-29,5055.4920
2010-11-01,5199.5250
2010-11-02,5173.0660
2010-11-03,5098.5390
2010-11-04,5228.2960
2010-11-05,5311.7700
2010-11-08,5431.0910
2010-11-09,5467.8390
2010-11-10,5484.7420
2010-11-11,5440.0990
2010-11-12,5111.1890
2010-11-15,5255.2670
2010-11-16,5068.4650
2010-11-17,4855.8500
2010-11-18,4932.4010
2010-11-19,5081.0300
2010-11-22,5150.6650
2010-11-23,5063.2370
2010-11-24,5206.1490
2010-11-25,5259.8100
2010-11-26,5227.6480
2010-11-29,5248.7470
2010-11-30,5110.8750
2010-12-01,5116.8370
2010-12-02,5138.4870
2010-12-03,5100.3660
2010-12-06,5016.5280
2010-12-07,5084.5830
2010-12-08,5069.9700
2010-12-09,4964.9010
2010-12-10,5039.1650
2010-12-13,5179.0210
2010-12-14,5244.0380
2010-12-15,5230.6800
2010-12-16,5216.8510
2010-12-17,5228.3370
2010-12-20,5163.5290
2010-12-21,5222.7920
2010-12-22,5174.5390
2010-12-23,5069.5230
2010-12-24,4991.5440
2010-12-27,4849.6300
2010-12-28,4730.4970
2010-12-29,4812.5320
2010-12-30,4828.4890
2010-12-31,4936.7160
2011-01-04,5011.4980
2011-01-05,5028.7660
2011-01-06,5001.2830
2011-01-07,4975.1440
2011-01-10,4830.5620
2011-01-11,4804.8220
2011-01-12,4833.5800
2011-01-13,4826.7570
2011-01-14,4723.4260
2011-01-17,4519.9130
2011-01-18,4536.9640
2011-01-19,4646.0870
2011-01-20,4477.3590
2011-01-21,4506.3220
2011-01-24,4398.4950
2011-01-25,4341.9090
2011-01-26,4424.8920
2011-01-27,4502.8080
2011-01-28,4548.2060
2011-01-31,4610.8600
2011-02-01,4630.5800
2011-02-09,4609.7170
2011-02-10,4733.9730
2011-02-11,4786.8060
2011-02-14,4872.4950
2011-02-15,4869.6870
2011-02-16,4952.6670
2011-02-17,4987.4800
2011-02-18,4941.4320
2011-02-21,5042.9670
2011-02-22,4909.7450
2011-02-23,4979.0570
2011-02-24,5027.7310
2011-02-25,5032.7970
2011-02-28,5095.2080
2011-03-01,5122.4410
2011-03-02,5108.7400
2011-03-03,5009.0470
2011-03-04,5067.6210
2011-03-07,5138.2480
2011-03-08,5165.7350
2011-03-09,5181.3680
2011-03-10,5143.4130
2011-03-11,5139.7460
2011-03-14,5190.0370
2011-03-15,5131.3320
2011-03-16,5199.3580
2011-03-17,5104.1340
2011-03-18,5126.9340
2011-03-21,5086.1080
2011-03-22,5085.8120
2011-03-23,5155.3370
2011-03-24,5169.2640
2011-03-25,5212.3450
2011-03-28,5199.5520
2011-03-29,5111.1530
2011-03-30,5064.5450
2011-03-31,5000.4020
